1,1,0
1,2,50
1,3,200
1,4,11
1,5,34
1,6,138
1,7,18
1,8,44
1,9,122
1,10,194
1,11,142
1,12,65
1,13,30
1,14,191
1,15,199
1,16,81
1,17,31
1,18,26
1,19,70
1,20,167
1,21,90
1,22,141
1,23,114
1,24,135
1,25,149
1,26,130
1,27,10
1,28,15
1,29,69
1,30,67
1,31,36
1,32,157
1,33,18
1,34,37
1,35,74
1,36,168
1,37,129
1,38,92
1,39,146
1,40,41
1,41,7
1,42,6
1,43,134
1,44,5
1,45,174
1,46,74
1,47,59
1,48,93
1,49,173
1,50,75
1,51,130
1,52,120
1,53,167
1,54,67
1,55,193
1,56,74
1,57,178
1,58,162
1,59,195
1,60,168
1,61,46
1,62,141
1,63,123
1,64,32
1,65,135
1,66,52
1,67,28
1,68,71
1,69,163
1,70,57
1,71,48
1,72,184
1,73,195
1,74,168
1,75,169
1,76,28
1,77,87
1,78,46
1,79,176
1,80,119
1,81,10
1,82,80
1,83,112
1,84,195
1,85,85
1,86,165
1,87,119
1,88,11
1,89,116
1,90,189
1,91,69
1,92,33
1,93,90
1,94,113
1,95,57
1,96,27
1,97,45
1,98,20
1,99,35
1,100,23
1,101,141
1,102,140
1,103,155
1,104,131
1,105,129
1,106,86
1,107,7
1,108,165
1,109,142
1,110,2
1,111,54
1,112,199
1,113,72
1,114,148
1,115,144
1,116,92
1,117,135
1,118,160
1,119,197
1,120,138
1,121,142
1,122,75
1,123,44
1,124,58
1,125,13
1,126,144
1,127,5
1,128,190
1,129,162
1,130,78
1,131,27
1,132,117
1,133,67
1,134,131
1,135,84
1,136,170
1,137,79
1,138,104
1,139,147
1,140,103
1,141,43
1,142,177
1,143,108
1,144,144
1,145,67
1,146,34
1,147,121
1,148,53
1,149,88
1,150,146
1,151,17
1,152,38
1,153,42
1,154,98
1,155,1
1,156,88
1,157,184
1,158,96
1,159,95
1,160,163
1,161,162
1,162,3
1,163,180
1,164,112
1,165,142
1,166,62
1,167,82
1,168,173
1,169,132
1,170,19
1,171,93
1,172,168
1,173,88
1,174,125
1,175,63
1,176,181
1,177,72
1,178,196
1,179,56
1,180,152
1,181,149
1,182,91
1,183,128
1,184,86
1,185,188
1,186,110
1,187,144
1,188,191
1,189,34
1,190,4
1,191,126
1,192,167
1,193,151
1,194,53
1,195,108
1,196,47
1,197,185
1,198,42
1,199,120
1,200,85
